# One UI drawable parity map
# reference drawable | representation | Compose mapping | status
ic_oui_beans_equlizer|resource|OneUiDrawableCatalog.entries[name=ic_oui_beans_equlizer]|mapped
ic_oui_beans_gaming|resource|OneUiDrawableCatalog.entries[name=ic_oui_beans_gaming]|mapped
ic_oui_beans_lock|resource|OneUiDrawableCatalog.entries[name=ic_oui_beans_lock]|mapped
ic_oui_beans_noti|resource|OneUiDrawableCatalog.entries[name=ic_oui_beans_noti]|mapped
ic_oui_beans_touchpad|resource|OneUiDrawableCatalog.entries[name=ic_oui_beans_touchpad]|mapped
ic_oui_bed|resource|OneUiDrawableCatalog.entries[name=ic_oui_bed]|mapped
ic_oui_beep_once|resource|OneUiDrawableCatalog.entries[name=ic_oui_beep_once]|mapped
ic_oui_beforebed|resource|OneUiDrawableCatalog.entries[name=ic_oui_beforebed]|mapped
ic_oui_beforebed_easytutorials|resource|OneUiDrawableCatalog.entries[name=ic_oui_beforebed_easytutorials]|mapped
ic_oui_bg_blur|resource|OneUiDrawableCatalog.entries[name=ic_oui_bg_blur]|mapped
ic_oui_biometric_type_face|resource|OneUiDrawableCatalog.entries[name=ic_oui_biometric_type_face]|mapped
ic_oui_biometric_type_fingerprint|resource|OneUiDrawableCatalog.entries[name=ic_oui_biometric_type_fingerprint]|mapped
ic_oui_bixby|resource|OneUiDrawableCatalog.entries[name=ic_oui_bixby]|mapped
ic_oui_block|resource|OneUiDrawableCatalog.entries[name=ic_oui_block]|mapped
ic_oui_bluetooth|resource|OneUiDrawableCatalog.entries[name=ic_oui_bluetooth]|mapped
ic_oui_bluetooth_device|resource|OneUiDrawableCatalog.entries[name=ic_oui_bluetooth_device]|mapped
ic_oui_bluetooth_device_connect|resource|OneUiDrawableCatalog.entries[name=ic_oui_bluetooth_device_connect]|mapped
ic_oui_bluetooth_device_disconnect|resource|OneUiDrawableCatalog.entries[name=ic_oui_bluetooth_device_disconnect]|mapped
