# One UI drawable parity map
# reference drawable | representation | Compose mapping | status
ic_oui_error_2|resource|OneUiDrawableCatalog.entries[name=ic_oui_error_2]|mapped
ic_oui_error_filled|resource|OneUiDrawableCatalog.entries[name=ic_oui_error_filled]|mapped
ic_oui_event|resource|OneUiDrawableCatalog.entries[name=ic_oui_event]|mapped
ic_oui_event_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_event_outline]|mapped
ic_oui_expand|resource|OneUiDrawableCatalog.entries[name=ic_oui_expand]|mapped
ic_oui_expand_horizontal|resource|OneUiDrawableCatalog.entries[name=ic_oui_expand_horizontal]|mapped
ic_oui_expand_vertical|resource|OneUiDrawableCatalog.entries[name=ic_oui_expand_vertical]|mapped
ic_oui_explicit|resource|OneUiDrawableCatalog.entries[name=ic_oui_explicit]|mapped
ic_oui_exposure|resource|OneUiDrawableCatalog.entries[name=ic_oui_exposure]|mapped
ic_oui_eye_comfort_shield|resource|OneUiDrawableCatalog.entries[name=ic_oui_eye_comfort_shield]|mapped
ic_oui_eyes|resource|OneUiDrawableCatalog.entries[name=ic_oui_eyes]|mapped
ic_oui_fashion|resource|OneUiDrawableCatalog.entries[name=ic_oui_fashion]|mapped
ic_oui_fashion_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_fashion_outline]|mapped
ic_oui_favorite_off|resource|OneUiDrawableCatalog.entries[name=ic_oui_favorite_off]|mapped
ic_oui_favorite_on|resource|OneUiDrawableCatalog.entries[name=ic_oui_favorite_on]|mapped
ic_oui_file_type_adobe|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_adobe]|mapped
ic_oui_file_type_amr|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_amr]|mapped
ic_oui_file_type_apk|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_apk]|mapped
ic_oui_file_type_audio|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_audio]|mapped
ic_oui_file_type_contact|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_contact]|mapped
ic_oui_file_type_eml|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_eml]|mapped
ic_oui_file_type_etc|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_etc]|mapped
ic_oui_file_type_excel|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_excel]|mapped
ic_oui_file_type_folder|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_folder]|mapped
ic_oui_file_type_ftp|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_ftp]|mapped
ic_oui_file_type_gltf|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_gltf]|mapped
ic_oui_file_type_hangul|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_hangul]|mapped
ic_oui_file_type_html|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_html]|mapped
ic_oui_file_type_image|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_image]|mapped
ic_oui_file_type_memo|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_memo]|mapped
ic_oui_file_type_ppt|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_ppt]|mapped
ic_oui_file_type_raw|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_raw]|mapped
ic_oui_file_type_rtf|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_rtf]|mapped
ic_oui_file_type_scrapbook|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_scrapbook]|mapped
ic_oui_file_type_sdoc|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_sdoc]|mapped
ic_oui_file_type_sftp|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_sftp]|mapped
ic_oui_file_type_smb|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_smb]|mapped
ic_oui_file_type_snb|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_snb]|mapped
ic_oui_file_type_spd|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_spd]|mapped
ic_oui_file_type_story_album|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_story_album]|mapped
ic_oui_file_type_svc|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_svc]|mapped
ic_oui_file_type_task_manager|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_task_manager]|mapped
ic_oui_file_type_txt|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_txt]|mapped
ic_oui_file_type_video|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_video]|mapped
ic_oui_file_type_word|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_word]|mapped
ic_oui_file_type_zip|resource|OneUiDrawableCatalog.entries[name=ic_oui_file_type_zip]|mapped
ic_oui_filter_tab|resource|OneUiDrawableCatalog.entries[name=ic_oui_filter_tab]|mapped
ic_oui_fingerprint_error_move|resource|OneUiDrawableCatalog.entries[name=ic_oui_fingerprint_error_move]|mapped
ic_oui_fingerprint_error_timeout|resource|OneUiDrawableCatalog.entries[name=ic_oui_fingerprint_error_timeout]|mapped
ic_oui_fingerprint_error_wipe|resource|OneUiDrawableCatalog.entries[name=ic_oui_fingerprint_error_wipe]|mapped
ic_oui_fit_to_screen|resource|OneUiDrawableCatalog.entries[name=ic_oui_fit_to_screen]|mapped
ic_oui_flag|resource|OneUiDrawableCatalog.entries[name=ic_oui_flag]|mapped
ic_oui_flag_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_flag_outline]|mapped
ic_oui_flashlight|resource|OneUiDrawableCatalog.entries[name=ic_oui_flashlight]|mapped
ic_oui_flashlight_notification|resource|OneUiDrawableCatalog.entries[name=ic_oui_flashlight_notification]|mapped
ic_oui_flex_mode|resource|OneUiDrawableCatalog.entries[name=ic_oui_flex_mode]|mapped
ic_oui_flip_h|resource|OneUiDrawableCatalog.entries[name=ic_oui_flip_h]|mapped
ic_oui_folder|resource|OneUiDrawableCatalog.entries[name=ic_oui_folder]|mapped
ic_oui_folder_down|resource|OneUiDrawableCatalog.entries[name=ic_oui_folder_down]|mapped
ic_oui_folder_home|resource|OneUiDrawableCatalog.entries[name=ic_oui_folder_home]|mapped
ic_oui_folder_home_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_folder_home_outline]|mapped
ic_oui_folder_open|resource|OneUiDrawableCatalog.entries[name=ic_oui_folder_open]|mapped
ic_oui_folder_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_folder_outline]|mapped
ic_oui_folder_root|resource|OneUiDrawableCatalog.entries[name=ic_oui_folder_root]|mapped
ic_oui_folder_shrink|resource|OneUiDrawableCatalog.entries[name=ic_oui_folder_shrink]|mapped
ic_oui_folder_to_left|resource|OneUiDrawableCatalog.entries[name=ic_oui_folder_to_left]|mapped
ic_oui_folder_to_right|resource|OneUiDrawableCatalog.entries[name=ic_oui_folder_to_right]|mapped
ic_oui_folding_status|resource|OneUiDrawableCatalog.entries[name=ic_oui_folding_status]|mapped
ic_oui_folding_status_top|resource|OneUiDrawableCatalog.entries[name=ic_oui_folding_status_top]|mapped
ic_oui_font_size|resource|OneUiDrawableCatalog.entries[name=ic_oui_font_size]|mapped
ic_oui_food|resource|OneUiDrawableCatalog.entries[name=ic_oui_food]|mapped
ic_oui_force_stop|resource|OneUiDrawableCatalog.entries[name=ic_oui_force_stop]|mapped
ic_oui_force_stop_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_force_stop_outline]|mapped
ic_oui_functions|resource|OneUiDrawableCatalog.entries[name=ic_oui_functions]|mapped
ic_oui_galaxy_store|resource|OneUiDrawableCatalog.entries[name=ic_oui_galaxy_store]|mapped
ic_oui_galaxy_store_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_galaxy_store_outline]|mapped
ic_oui_galaxy_watch|resource|OneUiDrawableCatalog.entries[name=ic_oui_galaxy_watch]|mapped
ic_oui_game|resource|OneUiDrawableCatalog.entries[name=ic_oui_game]|mapped
ic_oui_game_detail|resource|OneUiDrawableCatalog.entries[name=ic_oui_game_detail]|mapped
ic_oui_game_detail_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_game_detail_outline]|mapped
ic_oui_game_home_btn_lock|resource|OneUiDrawableCatalog.entries[name=ic_oui_game_home_btn_lock]|mapped
ic_oui_game_home_btn_navi_lock|resource|OneUiDrawableCatalog.entries[name=ic_oui_game_home_btn_navi_lock]|mapped
ic_oui_game_launcher|resource|OneUiDrawableCatalog.entries[name=ic_oui_game_launcher]|mapped
ic_oui_game_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_game_outline]|mapped
ic_oui_game_tools|resource|OneUiDrawableCatalog.entries[name=ic_oui_game_tools]|mapped
ic_oui_game_tools_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_game_tools_outline]|mapped
ic_oui_gif|resource|OneUiDrawableCatalog.entries[name=ic_oui_gif]|mapped
ic_oui_gift|resource|OneUiDrawableCatalog.entries[name=ic_oui_gift]|mapped
ic_oui_going_out|resource|OneUiDrawableCatalog.entries[name=ic_oui_going_out]|mapped
ic_oui_going_work|resource|OneUiDrawableCatalog.entries[name=ic_oui_going_work]|mapped
ic_oui_google|resource|OneUiDrawableCatalog.entries[name=ic_oui_google]|mapped
ic_oui_google_drive|resource|OneUiDrawableCatalog.entries[name=ic_oui_google_drive]|mapped
ic_oui_google_duo|resource|OneUiDrawableCatalog.entries[name=ic_oui_google_duo]|mapped
ic_oui_google_duo_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_google_duo_outline]|mapped
ic_oui_group|resource|OneUiDrawableCatalog.entries[name=ic_oui_group]|mapped
ic_oui_group_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_group_outline]|mapped
ic_oui_group_sharing|resource|OneUiDrawableCatalog.entries[name=ic_oui_group_sharing]|mapped
ic_oui_hand_writing|resource|OneUiDrawableCatalog.entries[name=ic_oui_hand_writing]|mapped
ic_oui_hand_writing_change_style|resource|OneUiDrawableCatalog.entries[name=ic_oui_hand_writing_change_style]|mapped
ic_oui_hand_writing_convert_text|resource|OneUiDrawableCatalog.entries[name=ic_oui_hand_writing_convert_text]|mapped
ic_oui_hand_writing_input|resource|OneUiDrawableCatalog.entries[name=ic_oui_hand_writing_input]|mapped
ic_oui_heading_home|resource|OneUiDrawableCatalog.entries[name=ic_oui_heading_home]|mapped
ic_oui_headphones|resource|OneUiDrawableCatalog.entries[name=ic_oui_headphones]|mapped
ic_oui_headphones_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_headphones_outline]|mapped
ic_oui_health|resource|OneUiDrawableCatalog.entries[name=ic_oui_health]|mapped
ic_oui_health_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_health_outline]|mapped
ic_oui_hear|resource|OneUiDrawableCatalog.entries[name=ic_oui_hear]|mapped
ic_oui_hearing_loud|resource|OneUiDrawableCatalog.entries[name=ic_oui_hearing_loud]|mapped
ic_oui_hearing_none|resource|OneUiDrawableCatalog.entries[name=ic_oui_hearing_none]|mapped
ic_oui_hearing_normal|resource|OneUiDrawableCatalog.entries[name=ic_oui_hearing_normal]|mapped
ic_oui_heart|resource|OneUiDrawableCatalog.entries[name=ic_oui_heart]|mapped
ic_oui_heart_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_heart_outline]|mapped
ic_oui_help|resource|OneUiDrawableCatalog.entries[name=ic_oui_help]|mapped
ic_oui_help_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_help_outline]|mapped
ic_oui_highlight|resource|OneUiDrawableCatalog.entries[name=ic_oui_highlight]|mapped
ic_oui_home|resource|OneUiDrawableCatalog.entries[name=ic_oui_home]|mapped
ic_oui_home_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_home_outline]|mapped
ic_oui_image|resource|OneUiDrawableCatalog.entries[name=ic_oui_image]|mapped
ic_oui_image_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_image_outline]|mapped
ic_oui_image_search|resource|OneUiDrawableCatalog.entries[name=ic_oui_image_search]|mapped
ic_oui_image_visual|resource|OneUiDrawableCatalog.entries[name=ic_oui_image_visual]|mapped
ic_oui_import|resource|OneUiDrawableCatalog.entries[name=ic_oui_import]|mapped
ic_oui_inbox|resource|OneUiDrawableCatalog.entries[name=ic_oui_inbox]|mapped
ic_oui_inbox_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_inbox_outline]|mapped
ic_oui_info|resource|OneUiDrawableCatalog.entries[name=ic_oui_info]|mapped
ic_oui_info_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_info_outline]|mapped
ic_oui_internet_web_search|resource|OneUiDrawableCatalog.entries[name=ic_oui_internet_web_search]|mapped
ic_oui_internet_website|resource|OneUiDrawableCatalog.entries[name=ic_oui_internet_website]|mapped
ic_oui_kaomoji|resource|OneUiDrawableCatalog.entries[name=ic_oui_kaomoji]|mapped
ic_oui_keyboard|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard]|mapped
ic_oui_keyboard_arrow_down|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_arrow_down]|mapped
ic_oui_keyboard_arrow_left|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_arrow_left]|mapped
ic_oui_keyboard_arrow_right|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_arrow_right]|mapped
ic_oui_keyboard_arrow_up|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_arrow_up]|mapped
ic_oui_keyboard_btn_delete|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_btn_delete]|mapped
ic_oui_keyboard_btn_enter|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_btn_enter]|mapped
ic_oui_keyboard_btn_shift|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_btn_shift]|mapped
ic_oui_keyboard_btn_shift_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_btn_shift_outline]|mapped
ic_oui_keyboard_btn_space|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_btn_space]|mapped
ic_oui_keyboard_fixed|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_fixed]|mapped
ic_oui_keyboard_floating|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_floating]|mapped
ic_oui_keyboard_japanese_email|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_japanese_email]|mapped
ic_oui_keyboard_japanese_email02|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_japanese_email02]|mapped
ic_oui_keyboard_japanese_small|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_japanese_small]|mapped
ic_oui_keyboard_japanese_url|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_japanese_url]|mapped
ic_oui_keyboard_japanese_url_jp|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_japanese_url_jp]|mapped
ic_oui_keyboard_language_en_nomal|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_language_en_nomal]|mapped
ic_oui_keyboard_language_kr_nomal|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_language_kr_nomal]|mapped
ic_oui_keyboard_language_nomal|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_language_nomal]|mapped
ic_oui_keyboard_mode|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_mode]|mapped
ic_oui_keyboard_mode_floating|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_mode_floating]|mapped
ic_oui_keyboard_mode_one_hand|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_mode_one_hand]|mapped
ic_oui_keyboard_mode_split|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_mode_split]|mapped
ic_oui_keyboard_mode_standard|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_mode_standard]|mapped
ic_oui_keyboard_numeric_thai|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_numeric_thai]|mapped
ic_oui_keyboard_numeric_vietnamese|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_numeric_vietnamese]|mapped
ic_oui_keyboard_sound|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_sound]|mapped
ic_oui_keyboard_split|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_split]|mapped
ic_oui_keyboard_standard|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_standard]|mapped
ic_oui_keyboard_vibration|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_vibration]|mapped
ic_oui_keyboard_zwnj|resource|OneUiDrawableCatalog.entries[name=ic_oui_keyboard_zwnj]|mapped
ic_oui_kids|resource|OneUiDrawableCatalog.entries[name=ic_oui_kids]|mapped
ic_oui_knox|resource|OneUiDrawableCatalog.entries[name=ic_oui_knox]|mapped
ic_oui_labs|resource|OneUiDrawableCatalog.entries[name=ic_oui_labs]|mapped
ic_oui_labs_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_labs_outline]|mapped
ic_oui_lasso|resource|OneUiDrawableCatalog.entries[name=ic_oui_lasso]|mapped
ic_oui_lasso_add|resource|OneUiDrawableCatalog.entries[name=ic_oui_lasso_add]|mapped
ic_oui_lasso_auto|resource|OneUiDrawableCatalog.entries[name=ic_oui_lasso_auto]|mapped
ic_oui_lasso_remove|resource|OneUiDrawableCatalog.entries[name=ic_oui_lasso_remove]|mapped
ic_oui_leave|resource|OneUiDrawableCatalog.entries[name=ic_oui_leave]|mapped
ic_oui_letters|resource|OneUiDrawableCatalog.entries[name=ic_oui_letters]|mapped
ic_oui_lightbalance|resource|OneUiDrawableCatalog.entries[name=ic_oui_lightbalance]|mapped
ic_oui_lightning|resource|OneUiDrawableCatalog.entries[name=ic_oui_lightning]|mapped
ic_oui_lightning_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_lightning_outline]|mapped
ic_oui_like|resource|OneUiDrawableCatalog.entries[name=ic_oui_like]|mapped
ic_oui_link_to_windows|resource|OneUiDrawableCatalog.entries[name=ic_oui_link_to_windows]|mapped
ic_oui_list|resource|OneUiDrawableCatalog.entries[name=ic_oui_list]|mapped
ic_oui_list_add|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_add]|mapped
ic_oui_list_audio|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_audio]|mapped
ic_oui_list_extended|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_extended]|mapped
ic_oui_list_filter|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_filter]|mapped
ic_oui_list_grid|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_grid]|mapped
ic_oui_list_search|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_search]|mapped
ic_oui_list_sim_1|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_1]|mapped
ic_oui_list_sim_2|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_2]|mapped
ic_oui_list_sim_3|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_3]|mapped
ic_oui_list_sim_call|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_call]|mapped
ic_oui_list_sim_heart|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_heart]|mapped
ic_oui_list_sim_home|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_home]|mapped
ic_oui_list_sim_internet|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_internet]|mapped
ic_oui_list_sim_mms|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_mms]|mapped
ic_oui_list_sim_office|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_office]|mapped
ic_oui_list_sim_sms|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_sms]|mapped
ic_oui_list_sim_travel|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_travel]|mapped
ic_oui_list_sim_trip|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sim_trip]|mapped
ic_oui_list_sort|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_sort]|mapped
ic_oui_list_view_by|resource|OneUiDrawableCatalog.entries[name=ic_oui_list_view_by]|mapped
ic_oui_listen|resource|OneUiDrawableCatalog.entries[name=ic_oui_listen]|mapped
ic_oui_listen_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_listen_outline]|mapped
ic_oui_live_caption|resource|OneUiDrawableCatalog.entries[name=ic_oui_live_caption]|mapped
ic_oui_location|resource|OneUiDrawableCatalog.entries[name=ic_oui_location]|mapped
ic_oui_location_off|resource|OneUiDrawableCatalog.entries[name=ic_oui_location_off]|mapped
ic_oui_location_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_location_outline]|mapped
ic_oui_lock|resource|OneUiDrawableCatalog.entries[name=ic_oui_lock]|mapped
ic_oui_lock_2|resource|OneUiDrawableCatalog.entries[name=ic_oui_lock_2]|mapped
ic_oui_lock_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_lock_outline]|mapped
ic_oui_lockscreen|resource|OneUiDrawableCatalog.entries[name=ic_oui_lockscreen]|mapped
ic_oui_lockscreen_wallpaper|resource|OneUiDrawableCatalog.entries[name=ic_oui_lockscreen_wallpaper]|mapped
ic_oui_long_legs|resource|OneUiDrawableCatalog.entries[name=ic_oui_long_legs]|mapped
ic_oui_magnifying_glass_01|resource|OneUiDrawableCatalog.entries[name=ic_oui_magnifying_glass_01]|mapped
ic_oui_magnifying_glass_02|resource|OneUiDrawableCatalog.entries[name=ic_oui_magnifying_glass_02]|mapped
ic_oui_magnifying_glass_03|resource|OneUiDrawableCatalog.entries[name=ic_oui_magnifying_glass_03]|mapped
ic_oui_makeup|resource|OneUiDrawableCatalog.entries[name=ic_oui_makeup]|mapped
ic_oui_manage_storage|resource|OneUiDrawableCatalog.entries[name=ic_oui_manage_storage]|mapped
ic_oui_manage_storage_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_manage_storage_outline]|mapped
ic_oui_media_volume|resource|OneUiDrawableCatalog.entries[name=ic_oui_media_volume]|mapped
ic_oui_meeting|resource|OneUiDrawableCatalog.entries[name=ic_oui_meeting]|mapped
ic_oui_memo|resource|OneUiDrawableCatalog.entries[name=ic_oui_memo]|mapped
ic_oui_memo_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_memo_outline]|mapped
ic_oui_memo_scanner|resource|OneUiDrawableCatalog.entries[name=ic_oui_memo_scanner]|mapped
ic_oui_memo_scanner_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_memo_scanner_outline]|mapped
ic_oui_message|resource|OneUiDrawableCatalog.entries[name=ic_oui_message]|mapped
ic_oui_message_all_read|resource|OneUiDrawableCatalog.entries[name=ic_oui_message_all_read]|mapped
ic_oui_message_bot|resource|OneUiDrawableCatalog.entries[name=ic_oui_message_bot]|mapped
ic_oui_message_chat|resource|OneUiDrawableCatalog.entries[name=ic_oui_message_chat]|mapped
ic_oui_message_markasread|resource|OneUiDrawableCatalog.entries[name=ic_oui_message_markasread]|mapped
ic_oui_message_markasread_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_message_markasread_outline]|mapped
ic_oui_message_note|resource|OneUiDrawableCatalog.entries[name=ic_oui_message_note]|mapped
ic_oui_message_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_message_outline]|mapped
ic_oui_message_search|resource|OneUiDrawableCatalog.entries[name=ic_oui_message_search]|mapped
ic_oui_message_send|resource|OneUiDrawableCatalog.entries[name=ic_oui_message_send]|mapped
ic_oui_minimize|resource|OneUiDrawableCatalog.entries[name=ic_oui_minimize]|mapped
ic_oui_minus|resource|OneUiDrawableCatalog.entries[name=ic_oui_minus]|mapped
ic_oui_mms|resource|OneUiDrawableCatalog.entries[name=ic_oui_mms]|mapped
ic_oui_mobile_data|resource|OneUiDrawableCatalog.entries[name=ic_oui_mobile_data]|mapped
ic_oui_mobile_hotspot|resource|OneUiDrawableCatalog.entries[name=ic_oui_mobile_hotspot]|mapped
ic_oui_mono_audio|resource|OneUiDrawableCatalog.entries[name=ic_oui_mono_audio]|mapped
ic_oui_more|resource|OneUiDrawableCatalog.entries[name=ic_oui_more]|mapped
ic_oui_morning|resource|OneUiDrawableCatalog.entries[name=ic_oui_morning]|mapped
ic_oui_morning_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_morning_outline]|mapped
ic_oui_motion|resource|OneUiDrawableCatalog.entries[name=ic_oui_motion]|mapped
ic_oui_move|resource|OneUiDrawableCatalog.entries[name=ic_oui_move]|mapped
ic_oui_move_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_move_outline]|mapped
ic_oui_movie|resource|OneUiDrawableCatalog.entries[name=ic_oui_movie]|mapped
ic_oui_nature|resource|OneUiDrawableCatalog.entries[name=ic_oui_nature]|mapped
ic_oui_navigationbar|resource|OneUiDrawableCatalog.entries[name=ic_oui_navigationbar]|mapped
ic_oui_nearby_devices|resource|OneUiDrawableCatalog.entries[name=ic_oui_nearby_devices]|mapped
ic_oui_network_storage|resource|OneUiDrawableCatalog.entries[name=ic_oui_network_storage]|mapped
ic_oui_network_storage_manage|resource|OneUiDrawableCatalog.entries[name=ic_oui_network_storage_manage]|mapped
ic_oui_network_storage_manage_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_network_storage_manage_outline]|mapped
ic_oui_network_storage_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_network_storage_outline]|mapped
ic_oui_news|resource|OneUiDrawableCatalog.entries[name=ic_oui_news]|mapped
ic_oui_news_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_news_outline]|mapped
ic_oui_nfc|resource|OneUiDrawableCatalog.entries[name=ic_oui_nfc]|mapped
ic_oui_nfc_2|resource|OneUiDrawableCatalog.entries[name=ic_oui_nfc_2]|mapped
ic_oui_night_life|resource|OneUiDrawableCatalog.entries[name=ic_oui_night_life]|mapped
ic_oui_north|resource|OneUiDrawableCatalog.entries[name=ic_oui_north]|mapped
ic_oui_north_east|resource|OneUiDrawableCatalog.entries[name=ic_oui_north_east]|mapped
ic_oui_north_north_east|resource|OneUiDrawableCatalog.entries[name=ic_oui_north_north_east]|mapped
ic_oui_north_north_west|resource|OneUiDrawableCatalog.entries[name=ic_oui_north_north_west]|mapped
ic_oui_north_west|resource|OneUiDrawableCatalog.entries[name=ic_oui_north_west]|mapped
ic_oui_notes|resource|OneUiDrawableCatalog.entries[name=ic_oui_notes]|mapped
ic_oui_notes_new|resource|OneUiDrawableCatalog.entries[name=ic_oui_notes_new]|mapped
ic_oui_notice|resource|OneUiDrawableCatalog.entries[name=ic_oui_notice]|mapped
ic_oui_notice_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_notice_outline]|mapped
ic_oui_notification|resource|OneUiDrawableCatalog.entries[name=ic_oui_notification]|mapped
ic_oui_notification_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_notification_outline]|mapped
ic_oui_notification_with_keyword|resource|OneUiDrawableCatalog.entries[name=ic_oui_notification_with_keyword]|mapped
ic_oui_nowind|resource|OneUiDrawableCatalog.entries[name=ic_oui_nowind]|mapped
ic_oui_object|resource|OneUiDrawableCatalog.entries[name=ic_oui_object]|mapped
ic_oui_object_eraser|resource|OneUiDrawableCatalog.entries[name=ic_oui_object_eraser]|mapped
ic_oui_one_drive|resource|OneUiDrawableCatalog.entries[name=ic_oui_one_drive]|mapped
ic_oui_open|resource|OneUiDrawableCatalog.entries[name=ic_oui_open]|mapped
ic_oui_open_split_view|resource|OneUiDrawableCatalog.entries[name=ic_oui_open_split_view]|mapped
ic_oui_outbox|resource|OneUiDrawableCatalog.entries[name=ic_oui_outbox]|mapped
ic_oui_page_lock|resource|OneUiDrawableCatalog.entries[name=ic_oui_page_lock]|mapped
